# Training sentences for Whisper fine-tuning
# Categories: [Щ] [MIX] [UA] [IT] [NUM]
# Format: CATEGORY | sentence

# ═══════════════════════════════════════════════════════
# [Щ] — Слова з "щ" у різних позиціях (~100 речень)
# ═══════════════════════════════════════════════════════

Щ | Ще раз перевір цей файл, будь ласка.
Щ | Щось пішло не так із підключенням.
Щ | Щоб це працювало, потрібно перезапустити сервер.
Щ | Щодо цього питання, я напишу пізніше.
Щ | Навіщо ти це змінив без узгодження?
Щ | Щасливий, що нарешті все працює.
Щ | Борщ на обід був дуже смачний.
Щ | Прощай, старий сервер, переїжджаємо на новий.
Щ | Дощ іде вже третій день поспіль.
Щ | Ніщо не заважає нам це зробити.
Щ | Щоденно перевіряй логи на помилки.
Щ | Щільний графік цього тижня, багато завдань.
Щ | Щітка для клавіатури десь загубилася.
Щ | Щедрий бонус за завершення проєкту вчасно.
Щ | Щира подяка за допомогу з налаштуванням.
Щ | Ще не готово, потрібно ще трохи часу.
Щ | Що ти думаєш про новий дизайн?
Щ | Щойно отримав повідомлення від замовника.
Щ | Нащо витрачати час на це завдання?
Щ | Хоча б щось повинно працювати коректно.
Щ | Прощання з колегами було теплим.
Щ | Дощовий день — ідеально для кодування.
Щ | Щебетання птахів за вікном не заважає.
Щ | Щепа для мангала лежить у гаражі.
Щ | Нещодавно оновили бібліотеку до нової версії.
Щ | Сьогодні ще потрібно зробити код рев'ю.
Щ | Що саме не працює в цій функції?
Щ | Щоправда, це не найкращий підхід.
Щ | Частіще перевіряй пошту, є важливі листи.
Щ | Товщина стінки повинна бути три міліметри.
Щ | Щільно закрий кришку перед транспортуванням.
Щ | Щастя — це коли всі тести проходять.
Щ | Площа офісу збільшилася вдвічі.
Щ | Допомога прийшла у найщасливіший момент.
Щ | Потужніще обладнання потрібне для навчання моделі.
Щ | Загалом ще три задачі залишилось.
Щ | Найщільніший графік буде наступного тижня.
Щ | Ще одна помилка в тому ж модулі.
Щ | Щоб зекономити час, автоматизуємо це.
Щ | Що нового у релізі три точка п'ять?
Щ | Щоразу коли запускаю, вилітає помилка.
